id|kabupaten|provinsi|prov|pop|npop|positif|positif_sembuh|positif_md|pdp_md|odp_md|md|odp|pdp|pr_positif|pr_positif_sembuh|pr_positif_md|pr_pdp_md|pr_md|positif_rs|pdp_proses|pr_npop|p_sembuh|p_md|rs|p_rs|tgl|crawled_at
3510|BANYUWANGI|JAWA TIMUR|Jatim|1617814.0|61|41|33|2|17.0|3.0|22|922|69|2.53|2.04|0.12|1.05|1.36|6|12.0|3.77|54.1|36.07|6|9.84|2020-07-16 15:19:00.000000|2020-07-17 13:36:51.546273
3501|PACITAN|JAWA TIMUR|Jatim|555983.0|50|41|16|1|8.0|1.0|10|682|26|7.37|2.88|0.18|1.44|1.8|24|4.0|8.99|32.0|20.0|24|48.0|2020-07-16 18:14:00.000000|2020-07-17 13:36:51.546273
1601|OGAN KOMERING ULU|SUMATERA SELATAN|Sumsel|372123.0|43|40|40|0|3.0|0.0|3|157|10|10.75|10.75|0.0|0.81|0.81|0|0.0|11.56|93.02|6.98|0|0.0|2020-07-16 21:00:00.000000|2020-07-17 13:36:51.546273
7314|SIDENRENG RAPPANG|SULAWESI SELATAN|Sulsel|304827.0|40|40|32|3|0.0|0.0|3|87|52|13.12|10.5|0.98|0.0|0.98|5|0.0|13.12|80.0|7.5|5|12.5|2020-07-17 12:53:00.000000|2020-07-17 13:36:51.546273
3519|MADIUN|JAWA TIMUR|Jatim|683784.0|55|39|34|0|16.0|0.0|16|373|123|5.7|4.97|0.0|2.34|2.34|5|15.0|8.04|61.82|29.09|5|9.09|2020-07-16 17:49:00.000000|2020-07-17 13:36:51.546273
6209|KATINGAN|KALIMANTAN TENGAH|Kalteng|172288.0|39|39|30|1|0.0|0.0|1|0|0|22.64|17.41|0.58|0.0|0.58|8|0.0|22.64|76.92|2.56|8|20.51|2020-07-16 09:41:00.000000|2020-07-17 13:36:51.546273
7318|TANA TORAJA|SULAWESI SELATAN|Sulsel|235102.0|40|39|6|2|1.0|0.0|3|231|13|16.59|2.55|0.85|0.43|1.28|31|0.0|17.01|15.0|7.5|31|77.5|2020-07-17 12:53:00.000000|2020-07-17 13:36:51.546273
3672|KOTA CILEGON|BANTEN|Banten|442802.0|79|38|37|1|40.0|1.0|42|732|157|8.58|8.36|0.23|9.03|9.49|0|7.0|17.84|46.84|53.16|0|0.0|2020-07-16 00:00:00.000000|2020-07-17 13:36:51.546273
7606|MAMUJU TENGAH|SULAWESI BARAT|Sulbar|286389.0|42|38|37|1|2.0|2.0|5|327|19|13.27|12.92|0.35|0.7|1.75|0|2.0|14.67|88.1|11.9|0|0.0|2020-07-15 18:03:00.000000|2020-07-17 13:36:51.546273
3212|INDRAMAYU|JAWA BARAT|Jabar|1737622.0|99|38|22|4|41.0|20.0|65|0|0|2.19|1.27|0.23|2.36|3.74|12|137.0|5.7|22.22|65.66|12|12.12|2020-07-17 08:34:00.000000|2020-07-17 13:36:51.546273
7309|PANGKAJENE DAN KEPULAUAN|SULAWESI SELATAN|Sulsel|338219.0|42|38|20|1|4.0|0.0|5|130|55|11.24|5.91|0.3|1.18|1.48|17|0.0|12.42|47.62|11.9|17|40.48|2020-07-17 12:53:00.000000|2020-07-17 13:36:51.546273
1171|KOTA BANDA ACEH|ACEH|Aceh|276305.0|38|38|19|2|0.0|0.0|2|984|16|13.75|6.88|0.72|0.0|0.72|17|0.0|13.75|50.0|5.26|17|44.74|2020-07-16 15:00:00.000000|2020-07-17 13:36:51.546273
3326|PEKALONGAN|JAWA TENGAH|Jateng|903110.0|38|38|15|2|0.0|0.0|2|13|5|4.21|1.66|0.22|0.0|0.22|21|5.0|4.21|39.47|5.26|21|55.26|2020-07-17 12:46:00.000000|2020-07-17 13:36:51.546273
3328|TEGAL|JAWA TENGAH|Jateng|1443928.0|70|36|28|4|34.0|0.0|38|1362|292|2.49|1.94|0.28|2.35|2.63|4|15.0|4.85|40.0|54.29|4|5.71|2020-07-16 00:00:00.000000|2020-07-17 13:36:51.546273
3208|KUNINGAN|JAWA BARAT|Jabar|1087104.0|45|36|25|2|9.0|0.0|11|0|0|3.31|2.3|0.18|0.83|1.01|9|57.0|4.14|55.56|24.44|9|20.0|2020-07-17 08:34:00.000000|2020-07-17 13:36:51.546273
6402|KUTAI BARAT|KALIMANTAN TIMUR|Kaltim|148277.0|35|35|24|0|0.0|0.0|0|239|12|23.6|16.19|0.0|0.0|0.0|11|57.0|23.6|68.57|0.0|11|31.43|2020-07-16 19:00:00.000000|2020-07-17 13:36:51.546273
6204|BARITO SELATAN|KALIMANTAN TENGAH|Kalteng|137865.0|35|35|19|1|0.0|0.0|1|0|0|25.39|13.78|0.73|0.0|0.73|15|0.0|25.39|54.29|2.86|15|42.86|2020-07-16 09:41:00.000000|2020-07-17 13:36:51.546273
6107|SINTANG|KALIMANTAN BARAT|Kalbar|423987.0|35|35|0|0|0.0|0.0|0|0|1|8.25|0.0|0.0|0.0|0.0|35|0.0|8.25|0.0|0.0|35|100.0|2020-07-17 23:59:00.000000|2020-07-17 13:36:51.546273
6501|MALINAU|KALIMANTAN UTARA|Kaltara|93803.0|34|34|33|0|0.0|0.0|0|11|5|36.25|35.18|0.0|0.0|0.0|1|0.0|36.25|97.06|0.0|1|2.94|2020-07-16 21:00:00.000000|2020-07-17 13:36:51.546273
1605|MUSI RAWAS|SUMATERA SELATAN|Sumsel|408279.0|37|33|31|2|4.0|0.0|6|42|19|8.08|7.59|0.49|0.98|1.47|0|1.0|9.06|83.78|16.22|0|0.0|2020-07-16 21:00:00.000000|2020-07-17 13:36:51.546273
3371|KOTA MAGELANG|JAWA TENGAH|Jateng|122374.0|42|33|29|4|8.0|1.0|13|318|69|26.97|23.7|3.27|6.54|10.62|0|2.0|34.32|69.05|30.95|0|0.0|2020-07-16 18:00:00.000000|2020-07-17 13:36:51.546273
1211|KARO|SUMATERA UTARA|Sumut|421999.0|33|33|17|2|0.0|0.0|2|0|3|7.82|4.03|0.47|0.0|0.47|14|0.0|7.82|51.52|6.06|14|42.42|2020-07-16 00:00:00.000000|2020-07-17 13:36:51.546273
6103|LANDAK|KALIMANTAN BARAT|Kalbar|381928.0|33|33|0|0|0.0|0.0|0|0|20|8.64|0.0|0.0|0.0|0.0|33|0.0|8.64|0.0|0.0|33|100.0|2020-07-17 23:59:00.000000|2020-07-17 13:36:51.546273
3521|NGAWI|JAWA TIMUR|Jatim|830133.0|53|32|23|0|12.0|9.0|21|370|72|3.85|2.77|0.0|1.45|2.53|9|6.0|6.38|43.4|39.62|9|16.98|2020-07-16 13:52:00.000000|2020-07-17 13:36:51.546273
3511|BONDOWOSO|JAWA TIMUR|Jatim|778791.0|37|32|21|1|1.0|4.0|6|1214|13|4.11|2.7|0.13|0.13|0.77|10|1.0|4.75|56.76|16.22|10|27.03|2020-07-16 13:11:00.000000|2020-07-17 13:36:51.546273
3101|KEPULAUAN SERIBU|DKI JAKARTA|DKI|24469.0|36|32|12|0|1.0|3.0|4|1079|23|130.78|49.04|0.0|4.09|16.35|20|1.0|147.12|33.33|11.11|20|55.56|2020-07-16 09:00:00.000000|2020-07-17 13:36:51.546273
1219|BATU BARA|SUMATERA UTARA|Sumut|420102.0|32|32|4|0|0.0|0.0|0|0|0|7.62|0.95|0.0|0.0|0.0|28|0.0|7.62|12.5|0.0|28|87.5|2020-07-16 00:00:00.000000|2020-07-17 13:36:51.546273
